subgroup_family,subgroup_name,outcome_window,admissions_with_window,readmission_rate,readmissions
care_process,num_care_team_touchpoints_high,readmitted_90d_psych,5029,0.23762179359713662,1195
care_process,num_care_team_touchpoints_high,readmitted_365d_psych,5029,0.30224696758798963,1520
care_process,care_team_touchpoints_last_12h_before_discharge_any,readmitted_30d,43117,0.1671498480877612,7207
care_process,care_team_touchpoints_last_12h_before_discharge_any,readmitted_60d_psych,43117,0.2208873530162117,9524
care_process,care_team_touchpoints_last_12h_before_discharge_any,readmitted_90d_psych,43117,0.2536586497205279,10937
care_process,care_team_touchpoints_last_12h_before_discharge_any,readmitted_365d_psych,43117,0.3619685970730802,15607
care_process,care_team_touchpoints_last_12h_before_discharge_high,readmitted_30d,4750,0.15452631578947368,734
care_process,care_team_touchpoints_last_12h_before_discharge_high,readmitted_60d_psych,4750,0.2071578947368421,984
care_process,care_team_touchpoints_last_12h_before_discharge_high,readmitted_90d_psych,4750,0.24021052631578949,1141
care_process,care_team_touchpoints_last_12h_before_discharge_high,readmitted_365d_psych,4750,0.3374736842105263,1603
care_process,late_medication_change_intensity_score_any,readmitted_30d,29135,0.1787540758537841,5208
care_process,late_medication_change_intensity_score_any,readmitted_60d_psych,29135,0.2324008923974601,6771
care_process,late_medication_change_intensity_score_any,readmitted_90d_psych,29135,0.2651106916080316,7724
care_process,late_medication_change_intensity_score_any,readmitted_365d_psych,29135,0.3721297408615068,10842
care_process,late_medication_change_intensity_score_high,readmitted_30d,5054,0.17530668777206174,886
care_process,late_medication_change_intensity_score_high,readmitted_60d_psych,5054,0.22180451127819548,1121
care_process,late_medication_change_intensity_score_high,readmitted_90d_psych,5054,0.24990106846062524,1263
care_process,late_medication_change_intensity_score_high,readmitted_365d_psych,5054,0.334784329244163,1692
care_process,quiet_risk_summary_score_any,readmitted_30d,47171,0.1975578215428971,9319
care_process,quiet_risk_summary_score_any,readmitted_60d_psych,47171,0.2489665260435437,11744
care_process,quiet_risk_summary_score_any,readmitted_90d_psych,47171,0.28027813699094783,13221
care_process,quiet_risk_summary_score_any,readmitted_365d_psych,47171,0.38434631447287526,18130
care_process,quiet_risk_summary_score_high,readmitted_30d,5811,0.414730683187059,2410
care_process,quiet_risk_summary_score_high,readmitted_60d_psych,5811,0.44708311822405783,2598
care_process,quiet_risk_summary_score_high,readmitted_90d_psych,5811,0.4692823954568921,2727
care_process,quiet_risk_summary_score_high,readmitted_365d_psych,5811,0.5427637239717776,3154
